Date,Time,Open,High,Low,Close,Volume
2025-04-20,23:26:00,1.14094,1.14112,1.1407,1.14089,30
2025-04-20,23:27:00,1.14083,1.14102,1.14075,1.14078,13
2025-04-20,23:28:00,1.14104,1.14107,1.14073,1.14073,26
2025-04-20,23:29:00,1.14071,1.14148,1.14071,1.14145,21
2025-04-20,23:30:00,1.14141,1.14148,1.14126,1.14143,27
2025-04-20,23:31:00,1.14138,1.14186,1.14134,1.14184,38
2025-04-20,23:32:00,1.14182,1.14189,1.14118,1.14133,29
2025-04-20,23:33:00,1.14128,1.14188,1.14128,1.14172,33
2025-04-20,23:34:00,1.14153,1.14176,1.14151,1.14167,21
2025-04-20,23:35:00,1.1416,1.14225,1.14157,1.14186,32
2025-04-20,23:36:00,1.14181,1.14227,1.14181,1.14227,25
2025-04-20,23:37:00,1.14226,1.14228,1.14081,1.14107,42
2025-04-20,23:38:00,1.14109,1.14121,1.14069,1.1409,32
2025-04-20,23:39:00,1.14121,1.14241,1.14121,1.14239,32
2025-04-20,23:40:00,1.14229,1.1424,1.1422,1.14239,17
2025-04-20,23:41:00,1.14227,1.14235,1.14226,1.14232,11
2025-04-20,23:42:00,1.14231,1.14237,1.14224,1.14224,9
2025-04-20,23:43:00,1.14237,1.14266,1.14084,1.14084,38
2025-04-20,23:44:00,1.14085,1.14169,1.14057,1.14139,67
2025-04-20,23:45:00,1.14183,1.14214,1.14148,1.1418,21
2025-04-20,23:46:00,1.14193,1.14211,1.14178,1.14189,18
2025-04-20,23:47:00,1.14188,1.14255,1.14185,1.14255,30
2025-04-20,23:48:00,1.14252,1.14261,1.14233,1.14233,23
2025-04-20,23:49:00,1.14225,1.14244,1.14224,1.14234,24
2025-04-20,23:50:00,1.14224,1.14242,1.14224,1.14242,4
2025-04-20,23:51:00,1.14226,1.14276,1.14064,1.14069,42
2025-04-20,23:52:00,1.14109,1.14264,1.14051,1.14055,73
2025-04-20,23:53:00,1.14054,1.142,1.14054,1.14176,67
2025-04-20,23:54:00,1.14177,1.14189,1.14129,1.14163,42
2025-04-20,23:55:00,1.14161,1.14178,1.14137,1.14167,34
2025-04-20,23:56:00,1.14198,1.14218,1.14188,1.14195,25
2025-04-20,23:57:00,1.14194,1.14225,1.14115,1.14225,33
2025-04-20,23:58:00,1.1421,1.14222,1.14101,1.14199,37
2025-04-20,23:59:00,1.14218,1.14284,1.14144,1.14145,148
2025-04-21,00:00:00,1.1414,1.1414,1.14009,1.14011,193
2025-04-21,00:01:00,1.14001,1.14058,1.13968,1.1397,92
2025-04-21,00:02:00,1.13971,1.14078,1.13971,1.14074,127
2025-04-21,00:03:00,1.14073,1.14087,1.14025,1.1403,84
2025-04-21,00:04:00,1.14032,1.14108,1.14032,1.14081,91
2025-04-21,00:05:00,1.14078,1.14268,1.14078,1.14252,118
2025-04-21,00:06:00,1.14236,1.14319,1.14236,1.14309,103
2025-04-21,00:07:00,1.14313,1.14313,1.1429,1.14309,70
2025-04-21,00:08:00,1.1431,1.14316,1.14268,1.14272,69
2025-04-21,00:09:00,1.14275,1.14298,1.14261,1.14286,64
2025-04-21,00:10:00,1.14284,1.14309,1.14278,1.143,94
2025-04-21,00:11:00,1.14299,1.14311,1.14292,1.14292,72
2025-04-21,00:12:00,1.14301,1.14306,1.14262,1.14268,79
2025-04-21,00:13:00,1.14267,1.1427,1.14228,1.1423,63
2025-04-21,00:14:00,1.14229,1.14235,1.14172,1.14204,62
2025-04-21,00:15:00,1.14196,1.14211,1.14195,1.14208,63
2025-04-21,00:16:00,1.14211,1.14239,1.14186,1.14199,44
2025-04-21,00:17:00,1.14202,1.14294,1.14197,1.14286,83
2025-04-21,00:18:00,1.14287,1.14287,1.14269,1.14271,49
2025-04-21,00:19:00,1.14269,1.14276,1.14267,1.14268,44
2025-04-21,00:20:00,1.1427,1.14284,1.14265,1.14281,79
2025-04-21,00:21:00,1.14283,1.14292,1.14272,1.14276,97
2025-04-21,00:22:00,1.14269,1.14352,1.14268,1.14325,129
2025-04-21,00:23:00,1.14326,1.14348,1.14313,1.14326,88
2025-04-21,00:24:00,1.14324,1.14398,1.14323,1.14382,119
2025-04-21,00:25:00,1.1438,1.14382,1.14333,1.14351,76
2025-04-21,00:26:00,1.14349,1.1435,1.14293,1.14306,69
2025-04-21,00:27:00,1.14313,1.14317,1.14246,1.14261,69
2025-04-21,00:28:00,1.14258,1.14258,1.14237,1.14247,42
2025-04-21,00:29:00,1.14252,1.14256,1.14225,1.14225,40
2025-04-21,00:30:00,1.14227,1.14255,1.14216,1.14253,64
2025-04-21,00:31:00,1.14249,1.14293,1.14248,1.14279,51
2025-04-21,00:32:00,1.14283,1.14293,1.14277,1.14282,54
2025-04-21,00:33:00,1.14279,1.14287,1.14256,1.14283,50
2025-04-21,00:34:00,1.14284,1.14284,1.14278,1.14283,29
2025-04-21,00:35:00,1.14282,1.14283,1.14257,1.14257,55
2025-04-21,00:36:00,1.1426,1.14266,1.14235,1.14235,43
2025-04-21,00:37:00,1.14237,1.14238,1.1421,1.14215,44
2025-04-21,00:38:00,1.14213,1.14248,1.14209,1.14246,35
2025-04-21,00:39:00,1.14245,1.14265,1.14241,1.14255,29
2025-04-21,00:40:00,1.14254,1.14265,1.14229,1.14236,56
2025-04-21,00:41:00,1.14239,1.14241,1.14214,1.14241,47
2025-04-21,00:42:00,1.14237,1.14261,1.14189,1.14255,76
2025-04-21,00:43:00,1.14256,1.14284,1.14256,1.1428,32
2025-04-21,00:44:00,1.14282,1.1431,1.14282,1.14307,42
2025-04-21,00:45:00,1.14309,1.1433,1.14306,1.1432,64
2025-04-21,00:46:00,1.14321,1.14323,1.14304,1.14307,28
2025-04-21,00:47:00,1.14309,1.14324,1.14307,1.14315,25
2025-04-21,00:48:00,1.14316,1.14334,1.14313,1.14332,44
2025-04-21,00:49:00,1.14331,1.14335,1.14316,1.14321,41
2025-04-21,00:50:00,1.14319,1.14335,1.14319,1.14332,31
2025-04-21,00:51:00,1.14335,1.14355,1.14332,1.14352,44
2025-04-21,00:52:00,1.14353,1.14375,1.14347,1.14375,56
2025-04-21,00:53:00,1.14379,1.1438,1.1437,1.14372,37
2025-04-21,00:54:00,1.14367,1.14371,1.14364,1.14369,45
2025-04-21,00:55:00,1.14368,1.14384,1.14367,1.14379,58
2025-04-21,00:56:00,1.14378,1.1438,1.14313,1.14314,72
2025-04-21,00:57:00,1.14313,1.14313,1.14264,1.14282,84
2025-04-21,00:58:00,1.14277,1.14328,1.14273,1.14321,96
2025-04-21,00:59:00,1.14342,1.1435,1.14333,1.14338,94
2025-04-21,01:00:00,1.14345,1.14376,1.1434,1.14376,99
2025-04-21,01:01:00,1.14378,1.14378,1.14363,1.14363,57
2025-04-21,01:02:00,1.14362,1.14369,1.14354,1.14357,56
2025-04-21,01:03:00,1.14363,1.14368,1.14347,1.14365,58
2025-04-21,01:04:00,1.14369,1.14405,1.14366,1.144,142
2025-04-21,01:05:00,1.14405,1.14416,1.14362,1.14378,91
2025-04-21,01:06:00,1.1438,1.14386,1.14367,1.14381,48
2025-04-21,01:07:00,1.14382,1.14388,1.1437,1.14373,50
2025-04-21,01:08:00,1.14374,1.14395,1.14373,1.14388,23
2025-04-21,01:09:00,1.14387,1.14398,1.14379,1.1439,52
